101 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.71,363.0,2360.88,318.0
2360.7,423.30730154,2360.89,315.70659703
131 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.78,266.5662697,2360.79,30.0
2360.77,365.0,2360.8,46.0
2360.76,360.0,2360.81,106.0
2360.75,371.0,2360.82,135.0
2360.74,416.0,2360.83,182.0
2360.73,427.0,2360.84,215.0
2360.72,396.0,2360.85,212.0
2360.71,374.0,2360.86,313.0
2360.7,434.30730154,2360.87,322.0
2360.69,437.0,2360.88,346.0
132 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.77,343.5662697,2360.78,34.0
2360.76,360.0,2360.79,75.0
2360.75,371.0,2360.8,88.0
2360.74,417.0,2360.81,146.0
2360.73,429.0,2360.82,166.0
2360.72,401.0,2360.83,214.0
2360.71,382.0,2360.84,247.0
2360.7,443.30730154,2360.85,245.0
2360.69,445.0,2360.86,352.0
2360.68,448.0,2360.87,357.0
133 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.77,43.56626970000002,2360.78,71.0
2360.76,360.0,2360.79,127.0
2360.75,371.0,2360.8,130.0
2360.74,417.0,2360.81,184.0
2360.73,433.0,2360.82,206.0
2360.72,402.0,2360.83,247.0
2360.71,388.0,2360.84,288.0
2360.7,451.30730154,2360.85,281.0
2360.69,465.0,2360.86,387.0
2360.68,470.0,2360.87,384.0
134 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.76,124.56626970000002,2360.77,33.0
2360.75,371.0,2360.78,109.0
2360.74,417.0,2360.79,165.0
2360.73,437.0,2360.8,165.0
2360.72,406.0,2360.81,217.0
2360.71,398.0,2360.82,246.0
2360.7,459.30730154,2360.83,289.0
2360.69,476.0,2360.84,316.0
2360.68,479.0,2360.85,315.0
2360.67,444.0,2360.86,406.0
135 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.75,197.56626970000002,2360.76,35.0
2360.74,417.0,2360.77,79.0
2360.73,438.0,2360.78,139.0
2360.72,406.0,2360.79,215.0
2360.71,402.0,2360.8,205.0
2360.7,461.30730154,2360.81,249.0
2360.69,487.0,2360.82,275.0
2360.68,485.0,2360.83,315.0
2360.67,454.0,2360.84,338.0
2360.66,434.0,2360.85,341.0
136 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.74,309.5662697,2360.75,33.0
2360.73,438.0,2360.76,70.0
2360.72,407.0,2360.77,111.0
2360.71,402.0,2360.78,179.0
2360.7,464.30730154,2360.79,248.0
2360.69,492.0,2360.8,246.0
2360.68,493.0,2360.81,274.0
2360.67,465.0,2360.82,306.0
2360.66,448.0,2360.83,346.0
2360.65,487.0,2360.84,362.0
137 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.73,438.0,2360.74,24.43373029999998
2360.72,407.0,2360.75,65.0
2360.71,402.0,2360.76,102.0
2360.7,465.30730154,2360.77,139.0
2360.69,496.0,2360.78,216.0
2360.68,500.0,2360.79,288.0
2360.67,473.0,2360.8,278.0
2360.66,458.0,2360.81,310.0
2360.65,493.0,2360.82,341.0
2360.64,492.0,2360.83,362.0
138 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.73,106.0,2360.74,58.43373029999998
2360.72,407.0,2360.75,103.0
2360.71,402.0,2360.76,148.0
2360.7,465.30730154,2360.77,182.0
2360.69,496.0,2360.78,259.0
2360.68,504.0,2360.79,320.0
2360.67,483.0,2360.8,311.0
2360.66,468.0,2360.81,345.0
2360.65,507.0,2360.82,370.0
2360.64,504.0,2360.83,379.0
139 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.72,218.0,2360.73,28.0
2360.71,402.0,2360.74,94.43373029999998
2360.7,465.30730154,2360.75,139.0
2360.69,496.0,2360.76,189.0
2360.68,507.0,2360.77,226.0
2360.67,490.0,2360.78,307.0
2360.66,481.0,2360.79,351.0
2360.65,517.0,2360.8,351.0
2360.64,514.0,2360.81,384.0
2360.63,525.0,2360.82,400.0
140 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.71,336.0,2360.72,27.0
2360.7,465.30730154,2360.73,62.0
2360.69,496.0,2360.74,125.43373029999998
2360.68,508.0,2360.75,176.0
2360.67,496.0,2360.76,234.0
2360.66,487.0,2360.77,267.0
2360.65,528.0,2360.78,341.0
2360.64,525.0,2360.79,384.0
2360.63,534.0,2360.8,385.0
2360.62,547.0,2360.81,411.0
141 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.71,2.0,2360.72,61.0
2360.7,465.30730154,2360.73,100.0
2360.69,496.0,2360.74,163.43373029999998
2360.68,510.0,2360.75,224.0
2360.67,499.0,2360.76,266.0
2360.66,488.0,2360.77,292.0
2360.65,532.0,2360.78,378.0
2360.64,535.0,2360.79,421.0
2360.63,544.0,2360.8,409.0
2360.62,558.0,2360.81,440.0
142 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.7,152.30730154000003,2360.71,30.0
2360.69,496.0,2360.72,87.0
2360.68,510.0,2360.73,128.0
2360.67,501.0,2360.74,201.43373029999998
2360.66,489.0,2360.75,258.0
2360.65,539.0,2360.76,295.0
2360.64,544.0,2360.77,323.0
2360.63,560.0,2360.78,421.0
2360.62,564.0,2360.79,453.0
2360.61,560.0,2360.8,437.0
143 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.69,358.30730154,2360.7,36.0
2360.68,510.0,2360.71,58.0
2360.67,501.0,2360.72,125.0
2360.66,492.0,2360.73,162.0
2360.65,541.0,2360.74,238.43373029999998
2360.64,554.0,2360.75,306.0
2360.63,572.0,2360.76,330.0
2360.62,578.0,2360.77,351.0
2360.61,572.0,2360.78,453.0
2360.6,544.31279162,2360.79,494.0
144 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.69,38.307301540000026,2360.7,75.0
2360.68,510.0,2360.71,105.0
2360.67,501.0,2360.72,160.0
2360.66,492.0,2360.73,201.0
2360.65,542.0,2360.74,270.4337303
2360.64,558.0,2360.75,347.0
2360.63,576.0,2360.76,374.0
2360.62,585.0,2360.77,382.0
2360.61,583.0,2360.78,473.0
2360.6,556.31279162,2360.79,522.0
145 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.68,259.30730154,2360.69,23.0
2360.67,501.0,2360.7,105.0
2360.66,492.0,2360.71,143.0
2360.65,543.0,2360.72,196.0
2360.64,561.0,2360.73,242.0
2360.63,581.0,2360.74,310.4337303
2360.62,593.0,2360.75,381.0
2360.61,597.0,2360.76,413.0
2360.6,573.31279162,2360.77,422.0
2360.59,614.0,2360.78,509.0
146 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.67,476.30730154,2360.68,32.0
2360.66,492.0,2360.69,55.0
2360.65,544.0,2360.7,145.0
2360.64,564.0,2360.71,169.0
2360.63,585.0,2360.72,247.0
2360.62,600.0,2360.73,272.0
2360.61,605.0,2360.74,353.4337303
2360.6,579.31279162,2360.75,415.0
2360.59,629.0,2360.76,453.0
2360.58,643.0,2360.77,448.0
147 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.67,131.30730154000003,2360.68,56.0
2360.66,492.0,2360.69,88.0
2360.65,544.0,2360.7,172.0
2360.64,564.0,2360.71,216.0
2360.63,587.0,2360.72,290.0
2360.62,601.0,2360.73,300.0
2360.61,610.0,2360.74,388.4337303
2360.6,587.31279162,2360.75,448.0
2360.59,640.0,2360.76,480.0
2360.58,655.0,2360.77,464.0
148 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.66,330.30730154,2360.67,35.0
2360.65,544.0,2360.68,88.0
2360.64,564.0,2360.69,141.0
2360.63,588.0,2360.7,211.0
2360.62,603.0,2360.71,246.0
2360.61,615.0,2360.72,326.0
2360.6,598.31279162,2360.73,328.0
2360.59,652.0,2360.74,416.4337303
2360.58,662.0,2360.75,482.0
2360.57,624.0,2360.76,508.0
149 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.65,544.0,2360.66,14.692698459999974
2360.64,564.0,2360.67,75.0
2360.63,588.0,2360.68,122.0
2360.62,606.0,2360.69,183.0
2360.61,620.0,2360.7,243.0
2360.6,605.31279162,2360.71,278.0
2360.59,660.0,2360.72,370.0
2360.58,674.0,2360.73,353.0
2360.57,634.0,2360.74,450.4337303
2360.56,648.0,2360.75,507.0
150 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.65,252.0,2360.66,54.692698459999974
2360.64,564.0,2360.67,109.0
2360.63,588.0,2360.68,155.0
2360.62,607.0,2360.69,234.0
2360.61,622.0,2360.7,280.0
2360.6,608.31279162,2360.71,319.0
2360.59,667.0,2360.72,394.0
2360.58,685.0,2360.73,389.0
2360.57,643.0,2360.74,487.4337303
2360.56,663.0,2360.75,534.0
151 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.64,527.0,2360.65,23.0
2360.63,588.0,2360.66,92.69269845999997
2360.62,608.0,2360.67,144.0
2360.61,623.0,2360.68,186.0
2360.6,611.31279162,2360.69,274.0
2360.59,670.0,2360.7,321.0
2360.58,693.0,2360.71,352.0
2360.57,650.0,2360.72,434.0
2360.56,674.0,2360.73,409.0
2360.55,676.0,2360.74,517.4337303
152 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.64,191.0,2360.65,58.0
2360.63,588.0,2360.66,135.69269845999997
2360.62,608.0,2360.67,176.0
2360.61,623.0,2360.68,232.0
2360.6,611.31279162,2360.69,314.0
2360.59,674.0,2360.7,355.0
2360.58,698.0,2360.71,385.0
2360.57,654.0,2360.72,460.0
2360.56,685.0,2360.73,443.0
2360.55,686.0,2360.74,537.4337303
153 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.63,471.0,2360.64,24.0
2360.62,608.0,2360.65,95.0
2360.61,623.0,2360.66,169.69269845999997
2360.6,611.31279162,2360.67,219.0
2360.59,676.0,2360.68,259.0
2360.58,701.0,2360.69,342.0
2360.57,665.0,2360.7,384.0
2360.56,693.0,2360.71,420.0
2360.55,701.0,2360.72,494.0
2360.54,753.0,2360.73,469.0
154 Bid Price,Bid Volume,Ask Price,Ask Volume
